DATETIME,Unnamed: 0,humidity,pressure,feels_like,temp,wind_speed,rain_1h,rain_3h,snow_1h,snow_3h,OUTDOOR_TEMP,PYRANOMETER,DHW_BOTTOM,POWER_PVT,Q_PVT,binned_Q_PVT,FixedBin,ValueCountBin,ValueRangeBin,SIN_MONTH,COS_MONTH,SIN_DAY,COS_DAY,SIN_HOUR,COS_HOUR
2023-01-05 00:00:00,3.5297631120668997,,,,,,,,,,-1.4034666687404198,-0.7501166971130092,0.48292317197191753,-0.46849688847846527,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.0,1.0
2023-01-05 03:00:00,3.5317596868388206,,,,,,,,,,-1.3690828119542937,-0.7485963637818265,0.40289692824910867,-0.46849688847846527,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7071067811865476,0.7071067811865476
2023-01-05 06:00:00,3.533756261610741,,,,,,,,,,-1.3306365999648253,-0.7132642040917215,0.5989226763773259,-0.4439064973556291,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2023-01-05 09:00:00,-1.7192319633122015,0.6055737174566014,1.433002845301468,-0.5212376831171585,-0.5723178641875233,-0.4708420718488733,-0.09294246479688945,,-0.03235937615936575,,-0.6107447129963388,1.0963006577048897,0.754458247414277,1.4911594856297326,1.6401314452385636,2.2908779339947483,4.0,2.235185096391725,1.8333827201993522,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475
2023-01-05 12:00:00,-1.7172353885402811,0.31281609632323254,1.1922545627443557,-0.41161946631281093,-0.4486548297063577,-0.13979830492575634,-0.09294246479688945,,-0.03235937615936575,,-0.09315468411104698,1.7097826327407133,0.6480282328501364,2.1581853797321586,3.128796785517902,2.2908779339947483,4.0,2.235185096391725,1.8333827201993522,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2023-01-05 15:00:00,-1.7152388137683605,0.46925845011637657,1.0524652373886088,-0.48500081865089006,-0.5296858645253122,-0.9688768513766988,-0.09294246479688945,,-0.03235937615936575,,-0.5777655253151521,-0.061460649894365546,0.7749130205043225,0.08547740065991985,0.3440171956231713,0.891837005109467,3.0,1.506600723625576,1.8333827201993522,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479
2023-01-05 18:00:00,-1.71324223899644,1.2555871231292848,0.9359741329254864,-0.79853932409541,-0.8804172092640706,-1.2002646914228126,-0.09294246479688945,,-0.03235937615936575,,-1.1025621174344808,-0.7499335244225055,0.7181938090673836,-0.46849688847846527,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16
2023-01-05 21:00:00,-1.7112456642245195,1.5643549266683847,0.9243250224791741,-0.8983325175347642,-0.994631662259817,-1.0866520376858848,-0.09294246479688945,,-0.03235937615936575,,-0.7697166121336149,-0.748944391893784,0.6132306706610925,-0.46849688847846527,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474
2023-01-06 00:00:00,-1.709249089452599,1.7125634723671528,0.9359741329254864,-1.0510855366875003,-1.1037060869274955,-0.795029902770624,-0.09294246479688945,,-0.03235937615936575,,-1.0044184977980604,-0.751582078637041,0.35326761824178693,-0.46849688847846527,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.0,1.0
2023-01-06 03:00:00,-1.7072525146806783,1.769715787375175,0.8592270523380026,-1.1423297184908294,-1.233514034167649,-1.0423621149879825,-0.09294246479688945,,-0.03235937615936575,,-1.3235226748984321,-0.7495488617724471,0.2582466404609374,-0.46849688847846527,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.7071067811865476,0.7071067811865476
2023-01-06 06:00:00,-1.705255939908758,1.675511335942461,1.017517906049672,-1.0924731639802203,-1.1860977174803504,-1.063880535967061,-0.09294246479688945,,-0.03235937615936575,,-1.2677023461195345,-0.71765849635571,0.4273448642133075,-0.4442868479965892,-0.45288860319039925,-0.5072039237758145,0.0,-0.6791523946728704,-0.6982537040270445,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2023-01-06 09:00:00,-1.7032593651368373,0.6545191322398366,1.355342108992727,-0.624071414965079,-0.6781419768242176,-1.2257295965707444,-0.09294246479688945,,-0.03235937615936575,,-0.5879035718986277,1.2085488824457096,0.5247291424706957,1.571716788472081,1.6736095114860798,2.2908779339947483,4.0,2.235185096391725,1.8333827201993522,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.7071067811865476,-0.7071067811865475
