DATETIME,Unnamed: 0,T2,RH2,WSPD,WDIR,RAIN,humidity,pressure,feels_like,temp,wind_speed,rain_1h,rain_3h,snow_1h,snow_3h,OUTDOOR_TEMP,PYRANOMETER,DHW_BOTTOM,POWER_PVT,Q_PVT,FixedBin,ValueCountBin,ValueRangeBin,SIN_MONTH,COS_MONTH,SIN_DAY,COS_DAY,SIN_HOUR,COS_HOUR
2023-01-05 00:00:00,-1.7316016695634573,,,,,,,,,,,,,,,-1.4693658386660482,-0.7177592297452782,0.5682496358618672,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.0,1.0
2023-01-05 01:00:00,-1.7310028102622075,,,,,,,,,,,,,,,-1.512994130215847,-0.71536412735199,0.5471644308944758,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683
2023-01-05 02:00:00,-1.730403950960958,,,,,,,,,,,,,,,-1.5079600965754856,-0.7147913854753342,0.5255945085715126,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2023-01-05 03:00:00,-1.729805091659708,,,,,,,,,,,,,,,-1.4384158540623448,-0.713906238938684,0.4982079779816831,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7071067811865476,0.7071067811865476
2023-01-05 04:00:00,-1.7292062323584585,,,,,,,,,,,,,,,-1.4716031869506534,-0.7152599924653253,0.4681555019362068,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001
2023-01-05 05:00:00,-1.728607373057209,,,,,,,,,,,,,,,-1.4753321007583284,-0.7144269133720077,0.43664887382401213,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.9659258262890683,0.25881904510252074
2023-01-05 06:00:00,-1.728008513755959,,,,,,,,,,,,,,,-1.4274155583297035,-0.714062441268681,0.40417281100067604,-0.417411917509413,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2023-01-05 07:00:00,-1.7274096544547095,,,,,,,,,,,,,,,-1.4276020040200872,-0.7038572223755405,0.7143919185668876,-0.41035901350331966,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.9659258262890683,-0.25881904510252063
2023-01-05 08:00:00,-1.7268107951534597,,,,,,,,,,,,,,,-1.4126284863337504,-0.6233160692567152,0.8745074326256425,-0.3494254603973856,-0.40186615276898374,-0.5191744755742,-0.5593147972660498,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2023-01-05 09:00:00,-1.72621193585221,,,,,,,,,,,,,,,-1.2180370480287461,0.13671958278193344,0.6576799879649393,0.4456070635998207,-0.12298442285553327,0.3475906668136316,1.0719841469797604,1.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475
2023-01-05 10:00:00,-1.7256130765509603,,,,,,0.7950855067341415,1.5430692998491116,-0.6623897501908326,-0.721348066304337,-0.7279504353117957,-0.07569386156016848,,-0.02401739008027662,,-0.5705111653259649,1.2859001245702522,0.8215144541483447,1.7833078567555145,1.973037175370617,2.0811209515892948,1.8876336191026655,4.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387
2023-01-05 11:00:00,-1.7250142172497107,,,,,,0.523537488574638,1.426609640340192,-0.5710679617820168,-0.6171984872743274,-0.2860385526828873,-0.07569386156016848,,-0.02401739008027662,,-0.28170679092152817,1.677967972862855,0.9693532475978672,2.3834458703649073,3.0873589670858297,2.9478860939771265,2.7032830912255705,4.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682
2023-01-05 12:00:00,-1.7244153579484611,,,,,,0.4057576252765404,1.3101499808312724,-0.5259376834735623,-0.5662066553547025,-0.023924151711819032,-0.07569386156016848,,-0.02401739008027662,,-0.16648335426436733,1.8238609490801025,0.8064882161256065,2.5359382039511975,3.4432280551290395,2.9478860939771265,2.7032830912255705,4.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2023-01-05 13:00:00,-1.7238164986472113,,,,,,0.32069439067235894,1.1548704348193946,-0.48579705639723075,-0.52198072993574,-0.1232099096554053,-0.07569386156016848,,-0.02401739008027662,,-0.1286348791164653,1.6880169894259986,0.6084811763743608,2.3438000008761106,3.3073638703412653,2.9478860939771265,2.7032830912255705,4.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683
